lon,lat,id,main,description,icon,base,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,speed,deg,gust,all,dt,type,country,sunrise,sunset,timezone,name,cod,1h
-79.4163,43.7001,6167865,Clouds,overcast clouds,04d,stations,267.99,262.27,267.15,268.71,1030,58,10000,3.6,64,6.99,100,1613655065,1,CA,1613650303,1613688704,-18000,Toronto,200,
-74.006,40.7143,5128581,Snow,snow,13d,stations,268.96,262.54,268.15,269.82,1031,80,1609,5.14,50,7.2,90,1613655111,1,US,1613648749,1613687660,-18000,New York,200,1.15
-43.2075,-22.9028,3451190,Clear,clear sky,01d,stations,303.29,307.72,300.15,306.15,1006,83,10000,4.63,30,,0,1613655095,1,BR,1613637807,1613683820,-10800,Rio de Janeiro,200,
-58.3772,-34.6132,3435910,Clear,clear sky,01d,stations,298.89,299.26,298.15,299.82,1010,50,10000,1.54,0,,0,1613655303,1,AR,1613640667,1613688241,-10800,Buenos Aires,200,
-51.7216,64.1835,3421319,Snow,light snow,13d,stations,263.15,256.65,263.15,263.15,993,79,10000,4.63,20,,75,1613655167,1,GL,1613646719,1613678995,-10800,Nuuk,200,
-0.1257,51.5085,2643743,Clouds,scattered clouds,03d,stations,282.05,274.96,281.48,282.59,1001,71,10000,8.23,260,,40,1613654971,1,GB,1613632114,1613668835,0,London,200,
-85.1647,34.257,4219762,Clouds,broken clouds,04d,stations,277.56,274.16,277.04,278.15,1016,87,10000,2.57,320,,75,1613654834,1,US,1613650941,1613690824,-18000,Rome,200,
10.7461,59.9127,3143244,Snow,snow,13d,stations,271.74,268.43,270.93,272.59,992,72,276,0.89,283,1.34,100,1613655149,3,NO,1613630799,1613664931,3600,Oslo,200,0.51
31.2497,30.0626,360630,Clouds,broken clouds,04d,stations,289.98,285.01,289.82,290.15,1021,36,10000,4.63,260,,75,1613654823,1,EG,1613622744,1613663145,7200,Cairo,200,
55.3047,25.2582,292223,Clear,clear sky,01d,stations,300.63,295.57,300.15,301.15,1014,36,10000,7.72,320,,0,1613655186,1,AE,1613616681,1613657662,14400,Dubai,200,
37.6156,55.7522,524901,Clouds,few clouds,02d,stations,260.3,254.7,259.15,261.48,1021,66,10000,3.0,310,,20,1613654895,1,RU,1613623649,1613659185,10800,Moscow,200,
129.7331,62.0339,2013159,Clear,clear sky,01n,stations,240.15,234.14,240.15,240.15,1009,75,10000,3.0,340,,0,1613655089,1,RU,1613602744,1613635876,32400,Yakutsk,200,
18.4232,-33.9258,3369157,Clouds,scattered clouds,03d,stations,295.8,291.2,294.82,297.59,1015,49,10000,7.2,170,,40,1613654757,1,ZA,1613622275,1613669771,7200,Cape Town,200,
36.8167,-1.2833,184745,Clouds,broken clouds,04d,stations,300.15,295.23,300.15,300.15,1017,29,10000,6.17,90,,75,1613655061,1,KE,1613619742,1613663475,10800,Nairobi,200,
51.4215,35.6944,112931,Clouds,overcast clouds,04d,stations,281.85,275.63,281.15,282.15,1008,76,10000,7.2,270,,90,1613654853,1,IR,1613618288,1613657920,12600,Tehran,200,
77.2311,28.6128,1261481,Haze,haze,50n,stations,296.32,296.95,295.15,297.15,1016,57,2000,0.99,290,1.97,0,1613655345,1,IN,1613611624,1613652195,19800,New Delhi,200,
151.2073,-33.8679,2147714,Clear,clear sky,01n,stations,293.64,295.05,293.15,294.26,1023,88,10000,2.24,71,4.02,1,1613654721,3,AU,1613676846,1613724257,39600,Sydney,200,
-157.8583,21.3069,5856195,Clouds,broken clouds,04n,stations,296.07,295.19,295.93,296.15,1018,73,10000,5.14,60,,75,1613655205,1,US,1613667592,1613709064,-36000,Honolulu,200,
139.6917,35.6895,1850144,Clouds,few clouds,02n,stations,277.4,269.48,277.04,277.59,1008,41,10000,7.2,330,,20,1613654631,1,JP,1613597119,1613636721,32400,Tokyo,200,
116.3972,39.9075,1816670,Clear,clear sky,01n,stations,274.3,270.61,269.15,277.04,1020,46,10000,1.0,60,,0,1613655295,1,CN,1613603029,1613641992,28800,Beijing,200,
